nir,germ,gert,p,r,mismatchMin,mismatchMean,mismatchMax,NILhomozIntroMean,NILhetMean,PercNILsNoIntro
0.001,0.01,0.01,0.1,0.0009354391107092187,0.0001434751898287127,0.001828235672101556,0.00757843310377303,0.011636472770926554,0.0016058371400508257,0.0
0.001,0.01,0.01,0.25,0.00023385977767730469,0.0001434751898287127,0.0018378926560323348,0.007556359997645535,0.01136168753215572,0.0013914656771799629,0.0
0.001,0.01,0.01,0.25,0.00046771955535460937,0.0001434751898287127,0.001838812368787647,0.007560038848666784,0.011335703112413798,0.0014070563290251165,0.0
0.001,0.01,0.01,0.25,0.0009354391107092187,0.00013243863676496557,0.0017696806266800085,0.007663046677261758,0.013355342136854742,0.0014129028234670493,0.0
0.001,0.01,0.01,0.5,0.00023385977767730469,0.0001434751898287127,0.0018305349539898368,0.007549002295603038,0.011446136896316968,0.001031581463754333,0.0
0.001,0.01,0.01,0.5,0.00046771955535460937,0.0001361174877862146,0.001790527449133753,0.00765201012419801,0.012792779449442113,0.0010471721155994867,0.0
0.001,0.01,0.01,0.5,0.0009354391107092187,0.0001361174877862146,0.0017899143072968784,0.007666725528283007,0.013007800522806525,0.0013901664561928667,0.0
0.001,0.01,0.01,0.75,0.00023385977767730469,0.00013243863676496557,0.001763702493770479,0.007640973571134264,0.013424200849170837,0.0009159507959027767,0.0
0.001,0.01,0.01,0.75,0.00046771955535460937,0.0001361174877862146,0.0017848558871426609,0.0076372947201130146,0.013024690395638777,0.0009114035224479401,0.0
0.001,0.01,0.01,0.75,0.0009354391107092187,0.0001361174877862146,0.001784702601683442,0.0076336158690917645,0.013020792732677486,0.0009893567816737084,0.0
0.001,0.01,0.01,0.9,0.00023385977767730469,0.0001361174877862146,0.0017843960307650049,0.0076372947201130146,0.013045477931432313,0.0008997105335640749,0.0
0.001,0.01,0.01,0.9,0.00046771955535460937,0.0001361174877862146,0.001779950752447662,0.0076372947201130146,0.013133824958554849,0.0009237461218253535,0.0
0.001,0.01,0.01,0.9,0.0009354391107092187,0.0001361174877862146,0.0017693740557615713,0.007670404379304256,0.013576209704661085,0.000977014182296295,0.0
0.01,0.0001,0.0001,0.1,0.00023385977767730469,9.932897757372417e-05,0.0015811395118409952,0.007891135440579199,0.01879647963081336,0.0023619837545407773,0.0
0.01,0.0001,0.0001,0.1,0.00046771955535460937,9.932897757372417e-05,0.0015809862263817765,0.0078837777385367,0.018793231578345625,0.0023632829755278737,0.0
0.01,0.0001,0.0001,0.1,0.0009354391107092187,9.932897757372417e-05,0.0015803730845449016,0.007876420036494202,0.018762699885148865,0.002367180638489162,0.0
0.01,0.0001,0.0001,0.25,0.00023385977767730469,9.932897757372417e-05,0.001578073802656621,0.00788745658955795,0.018832857818452054,0.0022275143823763267,0.0
0.01,0.0001,0.0001,0.25,0.00046771955535460937,9.932897757372417e-05,0.0015805263700041205,0.0078837777385367,0.01881142067216497,0.0023243063459149893,0.0
0.01,0.0001,0.0001,0.25,0.0009354391107092187,9.932897757372417e-05,0.0015745482370945908,0.007905850844664193,0.018962130306668122,0.0023262551773956335,0.0
0.01,0.0001,0.0001,0.5,0.00023385977767730469,9.932897757372417e-05,0.0015765409480644338,0.007894814291600447,0.01887898016349397,0.0022223174984279423,0.0
0.01,0.0001,0.0001,0.5,0.00046771955535460937,9.932897757372417e-05,0.0015731686679616222,0.007909529695685443,0.018994610831345526,0.0022398569817537405,0.0
0.01,0.0001,0.0001,0.5,0.0009354391107092187,9.932897757372417e-05,0.0015590664057135008,0.007913208546706694,0.019310971141703433,0.0023457434922020755,0.0
0.01,0.0001,0.0001,0.75,0.00023385977767730469,9.932897757372417e-05,0.0015656576804599052,0.007909529695685443,0.01920898229421639,0.002215821393492462,0.0
0.01,0.0001,0.0001,0.75,0.00046771955535460937,9.932897757372417e-05,0.001556460552906783,0.007913208546706694,0.01935254621329051,0.0022294632138569713,0.0
0.01,0.0001,0.0001,0.75,0.0009354391107092187,9.932897757372417e-05,0.0015572269802028764,0.007913208546706694,0.019327211404042133,0.0022411562027408365,0.0
0.01,0.0001,0.0001,0.9,0.00023385977767730469,9.932897757372417e-05,0.0015480298526497538,0.007916887397727942,0.019556523908264605,0.0022145221725053655,0.0
0.01,0.0001,0.0001,0.9,0.00046771955535460937,9.932897757372417e-05,0.0015552342692330332,0.007913208546706694,0.01939671972685178,0.002226864771882779,0.0
0.01,0.0001,0.0001,0.9,0.0009354391107092187,9.932897757372417e-05,0.001555847411069908,0.007916887397727942,0.01938307790648727,0.002238557760766644,0.0
0.01,0.0001,0.001,0.1,0.00023385977767730469,9.932897757372417e-05,0.0015837453646477132,0.007902171993642945,0.018747758843797258,0.0024698190964697565,0.0
0.01,0.0001,0.001,0.1,0.00046771955535460937,9.932897757372417e-05,0.001582672366433182,0.007902171993642945,0.018755554169719833,0.0024750159804181413,0.0
0.01,0.0001,0.001,0.1,0.0009354391107092187,9.932897757372417e-05,0.0015820592245963077,0.00788745658955795,0.018734766633926297,0.0024691694859762087,0.0
0.01,0.0001,0.001,0.25,0.00023385977767730469,9.932897757372417e-05,0.0015812927973002141,0.007894814291600447,0.018752306117252093,0.0023509403761504603,0.0
