Line,putative.donor,max.match,founder.match,min.others,mean.others,max.others,sd.others,B73,CML103,CML228,CML247,CML277,CML322,CML333,CML52,CML69,KI3,Ki11,M162W,Mo17,Mo18W,NC350,NC358,Oh43,Tx303,Tzi8
CML103/B73 NIL-1164,CML103,0.94647201946472,CML103,0.677749360613811,0.706041863870208,0.738916256157635,0.0183283842822756,0.681265206812652,0.94647201946472,0.68298969072165,0.69873417721519,0.685503685503685,0.729946524064171,0.724747474747475,0.720101781170484,0.696517412935323,0.738916256157635,0.696078431372549,0.711111111111111,0.699266503667482,0.70076726342711,0.730769230769231,0.677749360613811,0.716707021791768,0.714285714285714,0.703296703296703
CML103/B73 NIL-1165,CML103,0.860515021459227,Uncertain,0.647465437788018,0.699798276551021,0.853711790393013,0.0521982639569188,0.860515021459227,0.853711790393013,0.680272108843537,0.65324384787472,0.697516930022573,0.741784037558685,0.681614349775785,0.679372197309417,0.724604966139955,0.687074829931973,0.793859649122807,0.699551569506726,0.662995594713656,0.647465437788018,0.684090909090909,0.668918918918919,0.663019693654267,0.711496746203905,0.665775401069519
CML103/B73 NIL-1170,CML103,0.881824464409122,B73,0.680820948336872,0.71658509579665,0.814263322884012,0.0281551833031124,0.881824464409122,0.738888888888889,0.718972895863053,0.712357954545455,0.695682944090587,0.702001482579689,0.680820948336872,0.722345953971789,0.723822909346451,0.711686494051784,0.724282715185444,0.708245243128964,0.721910112359551,0.715014577259475,0.688086642599278,0.699570815450644,0.706088173547936,0.714489650249822,0.814263322884012
CML103/B73 NIL-1171,CML103,0.978260869565217,CML103,0.609929078014184,0.701125283687426,0.795454545454545,0.047115698830933,0.717391304347826,0.978260869565217,0.718518518518519,0.695652173913043,0.686567164179104,0.65546218487395,0.733812949640288,0.795454545454545,0.788321167883212,0.717391304347826,0.609929078014184,0.75,0.686567164179104,0.671532846715328,0.648,0.684210526315789,0.666666666666667,0.718518518518519,0.676258992805755
CML103/B73 NIL-1174,CML103,0.926402943882245,Tzi8,0.657342657342657,0.7002743698588,0.741079597438243,0.0252298041706273,0.670166229221347,0.722955145118733,0.717253839205059,0.695495495495495,0.66546438232642,0.705767350928641,0.711711711711712,0.741062801932367,0.681376875551633,0.692307692307692,0.703111111111111,0.693950177935943,0.66696269982238,0.712815715622077,0.72858431018936,0.741079597438243,0.657342657342657,0.697530864197531,0.926402943882245
CML103/B73 NIL-1177,CML103,0.816881258941345,Uncertain,0.621301775147929,0.684742983272824,0.771879483500717,0.0344934944300854,0.734751773049645,0.816881258941345,0.690548780487805,0.687034277198212,0.686330935251799,0.688709677419355,0.621301775147929,0.669207317073171,0.691842900302115,0.704775687409551,0.691394658753709,0.643578643578644,0.771879483500717,0.678787878787879,0.673105497771174,0.649776453055142,0.645953757225434,0.711594202898551,0.6848
CML103/B73 NIL-1178,CML103,0.932539682539683,Mo17,0.600591715976331,0.64589968655578,0.701227830832196,0.0277755888598439,0.670588235294118,0.697986577181208,0.659913169319826,0.637741046831956,0.660326086956522,0.600591715976331,0.616231086657497,0.634965034965035,0.664788732394366,0.649243466299862,0.642375168690958,0.623641304347826,0.932539682539683,0.643550624133148,0.614855570839065,0.648907103825137,0.649932157394844,0.701227830832196,0.60932944606414
CML103/B73 NIL-1182A,CML103,0.959501557632399,CML103,0.597359735973597,0.657182982789175,0.779935275080906,0.0422031403270354,0.652996845425868,0.959501557632399,0.672025723472669,0.642633228840125,0.779935275080906,0.655629139072848,0.608974358974359,0.613114754098361,0.697452229299363,0.663366336633663,0.659375,0.605015673981191,0.635220125786163,0.597359735973597,0.641509433962264,0.661290322580645,0.674922600619195,0.685714285714286,0.682758620689655
CML103/B73 NIL-1182B,CML103,0.985535197685632,CML103,0.63081695966908,0.667173787639776,0.689108910891089,0.0183130809039397,0.669616519174041,0.985535197685632,0.680808080808081,0.648318042813456,0.685884691848907,0.657417289220918,0.639684106614018,0.676860346585117,0.666998011928429,0.685714285714286,0.689108910891089,0.657114624505929,0.647342995169082,0.63081695966908,0.650406504065041,0.68562874251497,0.669314796425025,0.687376725838264,0.680716543730242
CML103/B73 NIL-1184,CML103,0.980074719800747,CML103,0.627747252747253,0.669403784853775,0.699609882964889,0.0197897155658735,0.656603773584906,0.980074719800747,0.661861074705111,0.678756476683938,0.693081761006289,0.627747252747253,0.641154328732748,0.690012970168612,0.675572519083969,0.699609882964889,0.687341772151899,0.669201520912547,0.647204968944099,0.64453125,0.662371134020619,0.685019206145967,0.674242424242424,0.677664974619289,0.677290836653386
