bgi_id	nil_id
BGI4-H08	CML69/B73 NIL-1079
BGI4-A09	CML69/B73 NIL-1081
BGI4-B09	CML69/B73 NIL-1090
BGI4-C09	CML69/B73 NIL-1091
BGI11_01d	CML69/B73 NIL-1094
BGI11_01e	CML69/B73 NIL-1096
BGI4-D09	CML69/B73 NIL-1116
BGI4-E09	CML69/B73 NIL-1117
BGI4-F09	CML69/B73 NIL-1122
BGI4-G09	CML69/B73 NIL-1135A
BGI4-H09	CML69/B73 NIL-1145
BGI4-B10	CML69/B73 NIL-1162
BGI4-C10	CML69/B73 NIL-1167
BGI4-D10	CML69/B73 NIL-1176
BGI4-E10	CML69/B73 NIL-1178
BGI4-F10	CML69/B73 NIL-1185
BGI11_01g	CML69/B73 NIL-1189
BGI4-G10	CML69/B73 NIL-1199
BGI09_01a	CML69/B73 NIL-1206
BGI4-A11	CML69/B73 NIL-1214
BGI4-B11	CML69/B73 NIL-1219
BGI4-C11	CML69/B73 NIL-1221
BGI4-D11	CML69/B73 NIL-1227
BGI4-E11	CML69/B73 NIL-1232
BGI4-F11	CML69/B73 NIL-1237
BGI4-G11	CML69/B73 NIL-1239A
BGI4-H11	CML69/B73 NIL-1239B
BGI10_08c	CML69/B73 NIL-1194
BGI4-A12	Ki11/B73 NIL-1001
BGI4-B12	Ki11/B73 NIL-1006
BGI10_09c	Ki11/B73 NIL-1015
BGI05_1d	Ki11/B73 NIL-1018
BGI09_01b	Ki11/B73 NIL-1032
BGI11_01h	Ki11/B73 NIL-1038
BGI4-D12	Ki11/B73 NIL-1039A
BGI4-E12	Ki11/B73 NIL-1039B
BGI4-F12	Ki11/B73 NIL-1046
BGI4-G12	Ki11/B73 NIL-1054
BGI4-H12	Ki11/B73 NIL-1059
BGI09_01c	Ki11/B73 NIL-1062A
BGI09_01d	Ki11/B73 NIL-1063
BGI09_01e	Ki11/B73 NIL-1066
BGI09_01g	Ki11/B73 NIL-1080
BGI05_1e	Ki11/B73 NIL-1081
BGI08_10e	Ki11/B73 NIL-1086
BGI09_01h	Ki11/B73 NIL-1090
BGI09_02a	Ki11/B73 NIL-1097A
BGI09_02b	Ki11/B73 NIL-1097B
BGI09_02c	Ki11/B73 NIL-1104
BGI09_02d	Ki11/B73 NIL-1106
BGI09_02e	Ki11/B73 NIL-1112
BGI09_02g	Ki11/B73 NIL-1115
BGI11_12c	Ki11/B73 NIL-1117A
BGI09_02h	Ki11/B73 NIL-1117B
BGI09_03a	Ki11/B73 NIL-1123
BGI08_10g	Ki11/B73 NIL-1125
BGI09_03b	Ki11/B73 NIL-1128
BGI09_03c	Ki11/B73 NIL-1129A
BGI09_03d	Ki11/B73 NIL-1129B
BGI09_03e	Ki11/B73 NIL-1134
BGI09_03g	Ki11/B73 NIL-1147
BGI09_03h	Ki11/B73 NIL-1153
BGI09_04a	Ki11/B73 NIL-1161
BGI11_08b	Ki11/B73 NIL-1164
BGI09_04b	Ki11/B73 NIL-1165
BGI09_04c	Ki11/B73 NIL-1169
BGI09_04d	Ki11/B73 NIL-1177
BGI08_10h	Ki11/B73 NIL-1180
BGI09_04e	Ki11/B73 NIL-1193
BGI10_08d	Ki11/B73 NIL-1212
BGI09_04g	Ki11/B73 NIL-1228
BGI09_04h	Ki11/B73 NIL-1233
BGI09_05a	Ki3/B73 NIL-1007
BGI09_05b	Ki3/B73 NIL-1016
BGI08_11a	Ki3/B73 NIL-1024
BGI08_11b	Ki3/B73 NIL-1025
BGI08_11c	Ki3/B73 NIL-1028
BGI09_05c	Ki3/B73 NIL-1030
BGI09_05d	Ki3/B73 NIL-1034
BGI09_05e	Ki3/B73 NIL-1043A
BGI09_05g	Ki3/B73 NIL-1083
BGI08_11d	Ki3/B73 NIL-1107
BGI11_12d	Ki3/B73 NIL-1119
BGI08_11e	Ki3/B73 NIL-1123
BGI11_12e	Ki3/B73 NIL-1128
BGI11_12h	Ki3/B73 NIL-1144
BGI12_01a	Ki3/B73 NIL-1163
BGI12_01c	Ki3/B73 NIL-1185
BGI12_01d	Ki3/B73 NIL-1186
BGI11_08c	Ki3/B73 NIL-1191
BGI05_1g	Ki3/B73 NIL-1194
BGI12_01e	Ki3/B73 NIL-1199
BGI12_01g	Ki3/B73 NIL-1203
BGI12_01h	Ki3/B73 NIL-1215
BGI05_1h	Ki3/B73 NIL-1219
BGI11_09e	Ki3/B73 NIL-1221
BGI12_02a	Ki3/B73 NIL-1237
BGI05_2a	Ki3/B73 NIL-1240
BGI12_02b	Ki3/B73 NIL-1244
BGI12_02c	Ki3/B73 NIL-1258
BGI08_11g	Ki3/B73 NIL-1267
BGI12_02d	M162W/B73 NIL-1005
BGI08_11h	M162W/B73 NIL-1013
BGI12_02e	M162W/B73 NIL-1018
BGI12_02g	M162W/B73 NIL-1044
BGI12_02h	M162W/B73 NIL-1050
BGI08_12a	M162W/B73 NIL-1056
BGI08_12b	M162W/B73 NIL-1058
BGI08_12c	M162W/B73 NIL-1089
BGI08_12d	M162W/B73 NIL-1105
BGI05_2b	M162W/B73 NIL-1120
BGI08_12e	M162W/B73 NIL-1136
BGI08_7b	M162W/B73 NIL-1160
BGI05_2c	M162W/B73 NIL-1201
BGI08_12g	M162W/B73 NIL-1207
BGI07_6d	M162W/B73 NIL-1232
BGI07_8h	M162W/B73 NIL-1233
BGI08_12h	M162W/B73 NIL-1247
BGI11_08d	M162W/B73 NIL-1254
BGI10_09b	Mo17/B73 NIL-1005A
BGI05_2d	Mo17/B73 NIL-1015
BGI05_2e	Mo17/B73 NIL-1035
BGI11_12b	Mo17/B73 NIL-1076
BGI11_08e	Mo17/B73 NIL-1114
BGI11_10g	Mo17/B73 NIL-1163
BGI09_05h	Mo17/B73 NIL-1209
BGI09_06a	Mo17/B73 NIL-1213
BGI09_06b	Mo17/B73 NIL-1214
BGI09_06c	Mo17/B73 NIL-1215
BGI09_06d	Mo17/B73 NIL-1217
BGI09_06e	Mo17/B73 NIL-1218
BGI05_2g	Mo17/B73 NIL-1231
BGI09_06g	Mo17/B73 NIL-1243
BGI05_2h	Mo17/B73 NIL-1244
BGI05_3a	Mo17/B73 NIL-1250
BGI09_06h	Mo17/B73 NIL-1251A
BGI09_07a	Mo17/B73 NIL-1251B
BGI09_07b	Mo17/B73 NIL-1265
BGI05_3b	Mo17/B73 NIL-1266
BGI05_3c	Mo17/B73 NIL-1270
BGI07_10b	Mo17/B73 NIL-1288
BGI09_07c	Mo17/B73 NIL-1291
BGI09_07d	Mo17/B73 NIL-1301
BGI08_9e	Mo17/B73 NIL-1306
BGI09_07e	Mo17/B73 NIL-1307
BGI08_9d	Mo17/B73 NIL-1314
BGI07_10c	Mo18W/B73 NIL-1001
BGI09_07g	Mo18W/B73 NIL-1003
BGI09_07h	Mo18W/B73 NIL-1004
BGI09_08a	Mo18W/B73 NIL-1005
BGI09_08b	Mo18W/B73 NIL-1008
BGI07_10d	Mo18W/B73 NIL-1011
BGI07_10e	Mo18W/B73 NIL-1012
BGI09_08c	Mo18W/B73 NIL-1013A
BGI09_08d	Mo18W/B73 NIL-1015
BGI09_08e	Mo18W/B73 NIL-1016A
BGI07_10g	Mo18W/B73 NIL-1016B
BGI09_08g	Mo18W/B73 NIL-1017B
BGI07_10h	Mo18W/B73 NIL-1018
BGI09_08h	Mo18W/B73 NIL-1020A
BGI07_11a	Mo18W/B73 NIL-1020B
BGI07_11b	Mo18W/B73 NIL-1023
BGI07_11c	Mo18W/B73 NIL-1024
BGI09_09a	Mo18W/B73 NIL-1026
BGI07_11d	Mo18W/B73 NIL-1028A
BGI09_09b	Mo18W/B73 NIL-1029
BGI09_09c	Mo18W/B73 NIL-1031
BGI09_09d	Mo18W/B73 NIL-1033
BGI09_09e	Mo18W/B73 NIL-1035
BGI07_11e	Mo18W/B73 NIL-1037
BGI09_09g	Mo18W/B73 NIL-1043
BGI09_09h	Mo18W/B73 NIL-1045
BGI09_10a	Mo18W/B73 NIL-1053
BGI09_10b	Mo18W/B73 NIL-1054
BGI07_10a	Mo18W/B73 NIL-1058A
BGI09_10c	Mo18W/B73 NIL-1058B
BGI09_10d	Mo18W/B73 NIL-1065
BGI09_10e	Mo18W/B73 NIL-1067
BGI07_11g	Mo18W/B73 NIL-1068
