,Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
369,CML52/B73 NIL-1237,CML52,3,3,0,1,Tx303
370,CML52/B73 NIL-1244,CML52,1,1,0,1,NC358
371,CML52/B73 NIL-1271,CML52,1,1,0,1,NC358
372,CML52/B73 NIL-1287,CML52,3,3,0,1,Oh43
373,CML52/B73 NIL-1292,CML52,1,0,0,1,CML52
374,CML52/B73 NIL-1294,CML52,1,0,0,1,CML52
375,CML52/B73 NIL-1314,CML52,3,3,0,2,NC358/B73
376,CML52/B73 NIL-1317,CML52,2,2,0,1,NC358
377,CML52/B73 NIL-1319,CML52,1,1,0,1,NC358
378,CML52/B73 NIL-1321,CML52,4,1,0,2,CML52/Tzi8
379,CML52/B73 NIL-1322,CML52,2,0,1,1,CML52
380,CML52/B73 NIL-1327,CML52,1,1,0,1,Oh43
381,CML52/B73 NIL-1357,CML52,1,0,1,0,NA
382,CML69/B73 NIL-1002,CML69,2,0,0,1,CML69
383,CML69/B73 NIL-1005,CML69,1,1,0,1,Oh43
384,CML69/B73 NIL-1007,CML69,2,0,0,1,CML69
385,CML69/B73 NIL-1016,CML69,4,0,3,1,CML69
386,CML69/B73 NIL-1018,CML69,2,0,0,1,CML69
387,CML69/B73 NIL-1019,CML69,2,0,1,1,CML69
388,CML69/B73 NIL-1026,CML69,2,0,0,1,CML69
389,CML69/B73 NIL-1029,CML69,4,2,2,1,Ki11
390,CML69/B73 NIL-1038,CML69,1,0,0,1,CML69
391,CML69/B73 NIL-1042,CML69,1,0,0,1,CML69
392,CML69/B73 NIL-1050,CML69,1,0,0,1,CML69
393,CML69/B73 NIL-1063,CML69,1,0,0,1,CML69
394,CML69/B73 NIL-1065,CML69,3,0,0,1,CML69
395,CML69/B73 NIL-1066,CML69,2,0,0,1,CML69
396,CML69/B73 NIL-1068,CML69,1,0,1,0,NA
397,CML69/B73 NIL-1070,CML69,1,1,0,1,Ki3
398,CML69/B73 NIL-1073,CML69,2,1,1,1,Oh43
399,CML69/B73 NIL-1077,CML69,2,0,1,1,CML69
400,CML69/B73 NIL-1079,CML69,5,3,1,3,CML69/B73/Mo17
401,CML69/B73 NIL-1081,CML69,7,4,0,2,Mo17/CML69
402,CML69/B73 NIL-1090,CML69,2,0,1,1,CML69
403,CML69/B73 NIL-1091,CML69,2,0,0,1,CML69
404,CML69/B73 NIL-1094,CML69,1,0,1,0,NA
405,CML69/B73 NIL-1096,CML69,1,0,1,0,NA
406,CML69/B73 NIL-1116,CML69,3,0,0,1,CML69
407,CML69/B73 NIL-1117,CML69,2,0,0,1,CML69
408,CML69/B73 NIL-1122,CML69,1,0,0,1,CML69
409,CML69/B73 NIL-1135A,CML69,4,1,0,2,CML69/CML228
410,CML69/B73 NIL-1145,CML69,5,0,0,1,CML69
411,CML69/B73 NIL-1162,CML69,3,0,1,1,CML69
412,CML69/B73 NIL-1167,CML69,2,0,0,1,CML69
413,CML69/B73 NIL-1176,CML69,2,0,1,1,CML69
414,CML69/B73 NIL-1178,CML69,4,0,0,1,CML69
415,CML69/B73 NIL-1185,CML69,6,4,0,2,CML69/CML103
416,CML69/B73 NIL-1189,CML69,2,1,1,1,Oh43
417,CML69/B73 NIL-1194,CML69,2,0,0,1,CML69
418,CML69/B73 NIL-1199,CML69,1,0,0,1,CML69
419,CML69/B73 NIL-1206,CML69,1,0,0,1,CML69
420,CML69/B73 NIL-1214,CML69,2,0,1,1,CML69
421,CML69/B73 NIL-1219,CML69,1,0,0,1,CML69
